year,crime_id,gender,AgeGroup,count,tot count,percentage
2014,5,female,Less_than_6_months,12675,17100,0.74122807
2014,5,female,_6_months_to_less_than_1_year,801,17100,0.046842105
2014,5,female,_1_to_less_than_2_years,718,17100,0.041988304
2014,5,female,_2_to_less_than_5_years,830,17100,0.048538012
2014,5,female,_5_to_less_than_10_years,714,17100,0.041754386
2014,5,female,_10_to_less_than_20_years,621,17100,0.036315789
2014,5,female,_20_years_and_over,741,17100,0.043333333
2014,5,male,Less_than_6_months,2230,3541,0.629765603
2014,5,male,_6_months_to_less_than_1_year,198,3541,0.055916408
2014,5,male,_1_to_less_than_2_years,145,3541,0.040948884
2014,5,male,_2_to_less_than_5_years,174,3541,0.049138661
2014,5,male,_5_to_less_than_10_years,151,3541,0.042643321
2014,5,male,_10_to_less_than_20_years,168,3541,0.047444225
2014,5,male,_20_years_and_over,475,3541,0.134142897
2015,5,female,Less_than_6_months,12793,17913,0.714174064
2015,5,female,_6_months_to_less_than_1_year,938,17913,0.052364205
2015,5,female,_1_to_less_than_2_years,723,17913,0.040361748
2015,5,female,_2_to_less_than_5_years,854,17913,0.047674873
2015,5,female,_5_to_less_than_10_years,720,17913,0.040194272
2015,5,female,_10_to_less_than_20_years,721,17913,0.040250098
2015,5,female,_20_years_and_over,1164,17913,0.06498074
2015,5,male,Less_than_6_months,2291,3882,0.590159711
2015,5,male,_6_months_to_less_than_1_year,165,3882,0.042503864
2015,5,male,_1_to_less_than_2_years,154,3882,0.039670273
2015,5,male,_2_to_less_than_5_years,179,3882,0.046110252
2015,5,male,_5_to_less_than_10_years,149,3882,0.038382277
2015,5,male,_10_to_less_than_20_years,198,3882,0.051004637
2015,5,male,_20_years_and_over,746,3882,0.192168985
2016,5,female,Less_than_6_months,13051,18843,0.692617948
2016,5,female,_6_months_to_less_than_1_year,1087,18843,0.057687205
2016,5,female,_1_to_less_than_2_years,845,18843,0.044844239
2016,5,female,_2_to_less_than_5_years,1048,18843,0.055617471
2016,5,female,_5_to_less_than_10_years,819,18843,0.043464416
2016,5,female,_10_to_less_than_20_years,777,18843,0.041235472
2016,5,female,_20_years_and_over,1216,18843,0.064533248
2016,5,male,Less_than_6_months,2244,4104,0.546783626
2016,5,male,_6_months_to_less_than_1_year,222,4104,0.054093567
2016,5,male,_1_to_less_than_2_years,159,4104,0.03874269
2016,5,male,_2_to_less_than_5_years,250,4104,0.060916179
2016,5,male,_5_to_less_than_10_years,198,4104,0.048245614
2016,5,male,_10_to_less_than_20_years,216,4104,0.052631579
2016,5,male,_20_years_and_over,815,4104,0.198586745
2017,5,female,Less_than_6_months,14558,21212,0.686309636
2017,5,female,_6_months_to_less_than_1_year,1235,21212,0.058221761
2017,5,female,_1_to_less_than_2_years,1082,21212,0.051008863
2017,5,female,_2_to_less_than_5_years,1232,21212,0.058080332
2017,5,female,_5_to_less_than_10_years,976,21212,0.046011691
2017,5,female,_10_to_less_than_20_years,859,21212,0.040495946
2017,5,female,_20_years_and_over,1270,21212,0.059871771
2017,5,male,Less_than_6_months,2415,4523,0.533937652
2017,5,male,_6_months_to_less_than_1_year,222,4523,0.049082467
2017,5,male,_1_to_less_than_2_years,200,4523,0.044218439
2017,5,male,_2_to_less_than_5_years,207,4523,0.045766084
2017,5,male,_5_to_less_than_10_years,187,4523,0.041344241
2017,5,male,_10_to_less_than_20_years,231,4523,0.051072297
2017,5,male,_20_years_and_over,1061,4523,0.234578819
2018,5,female,Less_than_6_months,14949,22095,0.676578411
2018,5,female,_6_months_to_less_than_1_year,1741,22095,0.078796108
2018,5,female,_1_to_less_than_2_years,1116,22095,0.050509165
2018,5,female,_2_to_less_than_5_years,1234,22095,0.05584974
2018,5,female,_5_to_less_than_10_years,980,22095,0.044353926
2018,5,female,_10_to_less_than_20_years,783,22095,0.035437882
2018,5,female,_20_years_and_over,1292,22095,0.058474768
2018,5,male,Less_than_6_months,2240,4106,0.545543108
2018,5,male,_6_months_to_less_than_1_year,356,4106,0.086702387
2018,5,male,_1_to_less_than_2_years,230,4106,0.056015587
2018,5,male,_2_to_less_than_5_years,185,4106,0.045056016
2018,5,male,_5_to_less_than_10_years,181,4106,0.044081831
2018,5,male,_10_to_less_than_20_years,141,4106,0.03433999
2018,5,male,_20_years_and_over,773,4106,0.188261081
2019,5,female,Less_than_6_months,14893,22288,0.668207107
2019,5,female,_6_months_to_less_than_1_year,1726,22288,0.077440775
2019,5,female,_1_to_less_than_2_years,1312,22288,0.058865757
2019,5,female,_2_to_less_than_5_years,1272,22288,0.05707107
2019,5,female,_5_to_less_than_10_years,953,22288,0.042758435
2019,5,female,_10_to_less_than_20_years,819,22288,0.036746231
2019,5,female,_20_years_and_over,1313,22288,0.058910625
2019,5,male,Less_than_6_months,2415,4369,0.552758068
2019,5,male,_6_months_to_less_than_1_year,384,4369,0.087891966
2019,5,male,_1_to_less_than_2_years,229,4369,0.05241474
2019,5,male,_2_to_less_than_5_years,233,4369,0.053330282
2019,5,male,_5_to_less_than_10_years,210,4369,0.048065919
2019,5,male,_10_to_less_than_20_years,181,4369,0.041428244
2019,5,male,_20_years_and_over,717,4369,0.16411078
2020,5,female,Less_than_6_months,14294,23176,0.616758716
2020,5,female,_6_months_to_less_than_1_year,1924,23176,0.083016914
2020,5,female,_1_to_less_than_2_years,1606,23176,0.069295823
2020,5,female,_2_to_less_than_5_years,1717,23176,0.074085261
2020,5,female,_5_to_less_than_10_years,1374,23176,0.059285468
2020,5,female,_10_to_less_than_20_years,1019,23176,0.043967898
2020,5,female,_20_years_and_over,1242,23176,0.053589921
2020,5,male,Less_than_6_months,2189,4268,0.512886598
2020,5,male,_6_months_to_less_than_1_year,353,4268,0.082708529
2020,5,male,_1_to_less_than_2_years,276,4268,0.064667291
2020,5,male,_2_to_less_than_5_years,309,4268,0.07239925
2020,5,male,_5_to_less_than_10_years,238,4268,0.055763824
2020,5,male,_10_to_less_than_20_years,200,4268,0.046860356
2020,5,male,_20_years_and_over,703,4268,0.164714152
2021,5,female,Less_than_6_months,16652,26661,0.624582724
2021,5,female,_6_months_to_less_than_1_year,2043,26661,0.076628784
2021,5,female,_1_to_less_than_2_years,1679,26661,0.062975882
2021,5,female,_2_to_less_than_5_years,2012,26661,0.075466037
2021,5,female,_5_to_less_than_10_years,1597,26661,0.059900229
2021,5,female,_10_to_less_than_20_years,1138,26661,0.04268407
2021,5,female,_20_years_and_over,1540,26661,0.057762274
2021,5,male,Less_than_6_months,2315,4341,0.533287261
2021,5,male,_6_months_to_less_than_1_year,303,4341,0.069799585
2021,5,male,_1_to_less_than_2_years,210,4341,0.04837595
2021,5,male,_2_to_less_than_5_years,317,4341,0.073024649
2021,5,male,_5_to_less_than_10_years,239,4341,0.055056439
2021,5,male,_10_to_less_than_20_years,246,4341,0.05666897
2021,5,male,_20_years_and_over,711,4341,0.163787146
